model,report,tp,fp,fn
semantic,c7e4824fcbec2ce03ea66ea466cc86c7,1,2,1
semantic,c9650367eab214554ca9e598b7d20b98,1,0,1
semantic,c9e66c2b2207a62806ad8cf2d1be644c,1,0,0
semantic,cb03be6e94a2af87dfe9835af9a90176,0,2,4
semantic,cbec08b347952def186c342967296b70,0,3,2
semantic,cc5eec1d4ae185b987e2046cba6cdf40,1,0,0
semantic,d0bd16a373b50f106b909c6c3e1aabb2,0,0,1
semantic,d0cccd7d8549b0cdc8df43480c3ef29c,0,1,2
semantic,d0db0b174137b9e26b82ed008b361a68,0,2,2
semantic,d3202a726b25ee7ba1fe032e1b64f794,0,1,1
semantic,d599102a35af34cd051539e30fa02af1,0,1,1
semantic,d69c116a0a0c2526647f50eeb1793be0,4,3,4
semantic,d80a855ce4b2414b2575112aa099de24,1,0,0
semantic,d8252334c34c052abb9c4217d31535d3,2,5,4
semantic,d8711243db6998385b7d1ecc55b250b2,3,5,5
semantic,d948678d877f8ed1423c4239d1c4706e,0,1,1
semantic,da4d4d4d7dd7260931c0854c047f4762,1,2,1
semantic,db9a7609001ec92ed53b0d274fc0525f,0,2,1
semantic,e0f03fdecc78d790264c774831fc98e5,0,0,0
semantic,e180066b92ebcd82a3e6679adb50aa3f,1,0,1
semantic,e1b3d9a851cb886f170463f43cc6864d,0,1,1
semantic,e1d393f017f3d7e977c40e590b2b23ba,2,3,1
semantic,e1e8ca988a67c456b716f188aa1e466c,1,2,0
semantic,e52e607c1ccdafcf1cb3c01a77a9f2ea,1,2,1
semantic,e6b530576fceb82eb71f02ab52ceff22,0,3,4
semantic,e8d91194ae0ed24cdc79cab773f8a7be,0,1,0
semantic,e8ec6ba58b6cf2faf86f0f05d07299eb,1,0,0
semantic,ee26f187e88e85918abd44d8ccf623a2,0,1,1
semantic,ee40aca29a11450d1c8574d728767801,0,0,1
semantic,eeff3ce47067938f6e6e533c1fcbd100,2,3,2
semantic,f07935345b083bf8b8eefe8be3db5a6d,4,5,6
semantic,f07e36e1c93e1c044d980e5a554321eb,0,1,2
semantic,f18c22992bff49c3d95b900b9c07dd07,1,2,2
semantic,f204602d89730d2551207c3b6691a071,3,8,6
semantic,f2e1cdf99cee3394ecd972678098963e,1,3,2
semantic,f304ee698326eef91341d1a70b0ff3df,0,0,2
semantic,f477a7d32148f8453f8b7b56e52406ad,0,1,0
semantic,f4aa3951edcbb5c6a7dcb35604c458fe,0,0,0
semantic,f859fa314eb45db6231a8f03c8323be1,0,0,1
semantic,fb6a60c666cee38ba9328b4b093c41b7,2,2,3
semantic,fd4ca8263c63c2ca4b2d1dcf761a0bca,2,0,0
